DoctorID,DoctorName,Specialization,ExperienceYears,City
1,Doctor_1,Cardiology,31,Mumbai
2,Doctor_2,Orthopedics,10,Mumbai
3,Doctor_3,Orthopedics,24,Mumbai
4,Doctor_4,Orthopedics,6,Chennai
5,Doctor_5,General,16,Mumbai
6,Doctor_6,Cardiology,11,Bangalore
7,Doctor_7,Cardiology,32,Mumbai
8,Doctor_8,Cardiology,6,Mumbai
9,Doctor_9,Cardiology,22,Mumbai
10,Doctor_10,Neurology,4,Chennai
11,Doctor_11,Neurology,4,Bangalore
12,Doctor_12,Orthopedics,23,Mumbai
13,Doctor_13,Orthopedics,10,Hyderabad
14,Doctor_14,General,35,Chennai
15,Doctor_15,Orthopedics,7,Mumbai
16,Doctor_16,Cardiology,9,Mumbai
17,Doctor_17,Orthopedics,32,Chennai
18,Doctor_18,Orthopedics,15,Hyderabad
19,Doctor_19,Neurology,21,Hyderabad
20,Doctor_20,Cardiology,23,Chennai
21,Doctor_21,General,29,Mumbai
22,Doctor_22,General,13,Chennai
23,Doctor_23,General,2,Chennai
24,Doctor_24,Orthopedics,25,Chennai
25,Doctor_25,General,23,Chennai
26,Doctor_26,General,9,Hyderabad
27,Doctor_27,General,17,Chennai
28,Doctor_28,Neurology,3,Mumbai
29,Doctor_29,Cardiology,32,Mumbai
30,Doctor_30,Neurology,29,Bangalore
31,Doctor_31,Cardiology,19,Bangalore
32,Doctor_32,Neurology,35,Chennai
33,Doctor_33,Cardiology,32,Bangalore
34,Doctor_34,General,13,Chennai
35,Doctor_35,General,12,Hyderabad
36,Doctor_36,General,35,Hyderabad
37,Doctor_37,Neurology,23,Hyderabad
38,Doctor_38,General,21,Hyderabad
39,Doctor_39,Orthopedics,30,Mumbai
40,Doctor_40,Cardiology,18,Hyderabad
41,Doctor_41,Neurology,11,Hyderabad
42,Doctor_42,General,5,Mumbai
43,Doctor_43,General,34,Chennai
44,Doctor_44,Cardiology,10,Bangalore
45,Doctor_45,General,29,Chennai
46,Doctor_46,General,19,Chennai
47,Doctor_47,Cardiology,17,Bangalore
48,Doctor_48,Cardiology,35,Hyderabad
49,Doctor_49,Orthopedics,24,Hyderabad
50,Doctor_50,Orthopedics,30,Hyderabad
51,Doctor_51,Cardiology,1,Hyderabad
52,Doctor_52,Neurology,33,Bangalore
53,Doctor_53,Orthopedics,25,Hyderabad
54,Doctor_54,Cardiology,12,Hyderabad
55,Doctor_55,General,2,Hyderabad
56,Doctor_56,Neurology,24,Bangalore
57,Doctor_57,General,16,Mumbai
58,Doctor_58,Orthopedics,21,Bangalore
59,Doctor_59,General,5,Hyderabad
60,Doctor_60,Neurology,35,Bangalore
61,Doctor_61,Cardiology,25,Chennai
62,Doctor_62,Cardiology,13,Chennai
63,Doctor_63,Neurology,34,Mumbai
64,Doctor_64,General,32,Hyderabad
65,Doctor_65,General,10,Mumbai
66,Doctor_66,Neurology,19,Chennai
67,Doctor_67,Cardiology,21,Mumbai
68,Doctor_68,General,27,Chennai
69,Doctor_69,Orthopedics,21,Chennai
70,Doctor_70,Neurology,8,Bangalore
71,Doctor_71,Orthopedics,7,Hyderabad
72,Doctor_72,Orthopedics,34,Chennai
73,Doctor_73,Cardiology,5,Hyderabad
74,Doctor_74,Neurology,3,Mumbai
75,Doctor_75,General,9,Mumbai
76,Doctor_76,General,12,Chennai
77,Doctor_77,Neurology,3,Hyderabad
78,Doctor_78,Cardiology,13,Chennai
79,Doctor_79,General,7,Chennai
80,Doctor_80,General,32,Bangalore
81,Doctor_81,General,13,Mumbai
82,Doctor_82,Cardiology,7,Hyderabad
83,Doctor_83,General,3,Mumbai
84,Doctor_84,General,25,Bangalore
85,Doctor_85,Orthopedics,32,Mumbai
86,Doctor_86,Cardiology,34,Bangalore
87,Doctor_87,General,17,Mumbai
88,Doctor_88,Cardiology,4,Hyderabad
89,Doctor_89,Cardiology,24,Bangalore
90,Doctor_90,General,15,Mumbai
91,Doctor_91,General,5,Bangalore
92,Doctor_92,Cardiology,1,Hyderabad
93,Doctor_93,Cardiology,14,Mumbai
94,Doctor_94,Cardiology,32,Chennai
95,Doctor_95,Orthopedics,6,Hyderabad
96,Doctor_96,Neurology,30,Hyderabad
97,Doctor_97,General,4,Hyderabad
98,Doctor_98,Orthopedics,24,Hyderabad
99,Doctor_99,Orthopedics,27,Chennai
100,Doctor_100,Cardiology,24,Mumbai
101,Doctor_101,Neurology,4,Hyderabad
102,Doctor_102,General,18,Mumbai
103,Doctor_103,Orthopedics,34,Bangalore
104,Doctor_104,General,3,Hyderabad
105,Doctor_105,Orthopedics,5,Hyderabad
106,Doctor_106,General,20,Mumbai
107,Doctor_107,Cardiology,5,Chennai
108,Doctor_108,Cardiology,14,Bangalore
109,Doctor_109,Neurology,34,Chennai
110,Doctor_110,Cardiology,7,Mumbai
111,Doctor_111,Orthopedics,7,Hyderabad
112,Doctor_112,Orthopedics,15,Mumbai
113,Doctor_113,Orthopedics,35,Mumbai
114,Doctor_114,Orthopedics,25,Mumbai
115,Doctor_115,Cardiology,13,Mumbai
116,Doctor_116,Cardiology,13,Hyderabad
117,Doctor_117,Neurology,34,Bangalore
118,Doctor_118,General,16,Hyderabad
119,Doctor_119,Neurology,12,Mumbai
120,Doctor_120,General,27,Mumbai
121,Doctor_121,Cardiology,7,Hyderabad
122,Doctor_122,Orthopedics,23,Chennai
123,Doctor_123,Neurology,30,Chennai
124,Doctor_124,Neurology,28,Chennai
125,Doctor_125,Cardiology,7,Mumbai
126,Doctor_126,General,11,Hyderabad
127,Doctor_127,Neurology,12,Hyderabad
128,Doctor_128,General,26,Chennai
129,Doctor_129,Neurology,33,Chennai
130,Doctor_130,Orthopedics,22,Hyderabad
131,Doctor_131,Cardiology,11,Mumbai
132,Doctor_132,General,35,Chennai
133,Doctor_133,Cardiology,29,Bangalore
134,Doctor_134,Cardiology,23,Bangalore
135,Doctor_135,General,21,Hyderabad
136,Doctor_136,General,21,Mumbai
137,Doctor_137,Neurology,24,Bangalore
138,Doctor_138,General,27,Chennai
139,Doctor_139,Cardiology,28,Mumbai
140,Doctor_140,Cardiology,21,Hyderabad
141,Doctor_141,General,16,Chennai
142,Doctor_142,General,35,Mumbai
143,Doctor_143,Neurology,14,Hyderabad
144,Doctor_144,Neurology,25,Mumbai
145,Doctor_145,Neurology,17,Bangalore
146,Doctor_146,Cardiology,24,Bangalore
147,Doctor_147,General,29,Hyderabad
148,Doctor_148,Orthopedics,29,Bangalore
149,Doctor_149,General,26,Hyderabad
150,Doctor_150,General,1,Bangalore
151,Doctor_151,Neurology,3,Mumbai
152,Doctor_152,Orthopedics,19,Mumbai
153,Doctor_153,General,2,Hyderabad
154,Doctor_154,Orthopedics,34,Chennai
155,Doctor_155,Orthopedics,9,Mumbai
156,Doctor_156,General,20,Mumbai
157,Doctor_157,Neurology,1,Hyderabad
158,Doctor_158,Neurology,20,Hyderabad
159,Doctor_159,General,15,Chennai
160,Doctor_160,Orthopedics,14,Hyderabad
161,Doctor_161,Orthopedics,21,Chennai
162,Doctor_162,Neurology,2,Hyderabad
163,Doctor_163,Neurology,18,Mumbai
164,Doctor_164,Neurology,33,Hyderabad
165,Doctor_165,Orthopedics,10,Bangalore
166,Doctor_166,Orthopedics,7,Mumbai
167,Doctor_167,Neurology,3,Bangalore
168,Doctor_168,Neurology,30,Bangalore
169,Doctor_169,Orthopedics,23,Hyderabad
170,Doctor_170,Cardiology,10,Hyderabad
171,Doctor_171,Orthopedics,9,Bangalore
172,Doctor_172,General,17,Mumbai
173,Doctor_173,General,24,Hyderabad
174,Doctor_174,Orthopedics,16,Mumbai
