ProductionID,PlantID,MaterialID,ProductionDate,ProducedQty
1,3,47,2023-04-10 06:14:34,655
2,5,70,2024-11-25 07:44:17,377
3,3,57,2022-08-03 23:17:14,792
4,3,93,2023-12-09 05:29:34,798
5,2,19,2022-06-16 12:36:50,725
6,5,97,2023-01-30 18:04:18,590
7,5,65,2022-09-11 04:42:03,354
8,5,3,2023-11-14 15:36:06,480
9,1,42,2024-06-07 15:19:28,991
10,3,21,2022-10-04 19:33:44,641
11,5,99,2022-03-31 05:01:30,363
12,1,40,2022-03-23 01:27:01,709
13,2,67,2023-03-09 09:05:06,924
14,5,25,2024-07-10 19:14:58,978
15,5,55,2022-06-12 11:07:45,428
16,1,84,2023-11-22 11:47:29,214
17,3,52,2022-03-28 10:12:13,375
18,2,44,2023-11-27 21:34:35,587
19,5,98,2024-12-21 20:29:51,380
20,3,85,2023-09-16 03:13:13,374
21,2,56,2023-12-26 19:07:52,872
22,4,55,2024-10-23 06:06:57,942
23,4,87,2022-01-14 16:00:59,818
24,2,70,2022-05-31 04:32:37,995
25,1,77,2023-04-12 07:00:46,427
26,2,87,2024-03-10 15:28:09,310
27,2,73,2022-06-26 17:38:56,826
28,1,81,2022-07-09 19:19:33,651
29,1,66,2023-01-15 02:31:11,125
30,3,19,2024-03-21 18:28:00,126
31,3,83,2023-09-04 04:20:18,801
32,1,7,2023-03-30 05:25:29,182
33,4,63,2022-10-04 10:12:20,995
34,4,42,2023-07-28 08:33:49,781
35,2,42,2022-08-07 05:49:13,512
36,5,59,2022-10-25 08:59:24,266
37,2,20,2023-08-22 05:25:45,799
38,2,73,2024-06-20 21:43:07,268
39,5,17,2022-06-07 12:08:39,900
40,1,27,2022-01-13 11:43:57,328
41,4,47,2023-06-16 04:52:30,708
42,2,2,2023-03-13 09:59:43,466
43,5,63,2023-03-01 21:07:12,627
44,3,62,2023-08-16 10:42:23,890
45,2,100,2022-07-15 11:27:32,746
46,4,19,2024-01-01 08:40:34,637
47,1,17,2024-02-27 00:29:18,963
48,2,69,2022-07-21 00:19:24,623
49,2,39,2023-07-28 13:04:55,171
50,5,82,2023-12-13 14:06:07,744
51,3,71,2024-12-19 20:48:54,205
52,3,81,2023-12-21 06:24:20,831
53,1,39,2023-12-23 13:05:57,984
54,4,36,2024-06-17 14:03:06,788
55,1,40,2023-03-12 10:23:33,381
56,2,45,2022-02-21 17:03:21,232
57,2,4,2023-05-26 01:17:49,633
58,3,25,2024-01-19 04:24:26,368
59,4,69,2023-08-31 19:32:53,511
60,5,30,2022-01-09 00:37:44,772
61,4,76,2022-04-16 09:48:58,718
62,2,68,2023-02-11 14:50:47,890
63,5,88,2023-03-06 22:57:36,964
64,4,29,2024-08-18 10:24:52,846
65,4,73,2024-02-06 01:07:18,117
66,5,68,2022-09-06 05:03:59,853
67,2,51,2024-11-29 22:08:37,216
68,4,24,2023-02-09 01:59:48,897
69,5,14,2022-07-31 17:22:15,893
70,2,69,2022-08-31 02:44:02,243
71,5,18,2022-10-28 17:12:21,816
72,5,42,2023-02-03 01:19:58,650
73,4,57,2023-05-14 20:06:23,765
74,2,83,2022-04-09 04:24:23,787
75,4,12,2024-05-20 17:46:59,852
76,1,82,2023-11-29 02:31:35,521
77,1,17,2023-08-20 17:00:29,997
78,2,30,2022-01-28 01:06:38,468
79,5,88,2022-12-09 00:21:05,745
80,4,75,2024-01-27 21:45:19,657
81,4,99,2024-09-22 21:13:44,149
82,2,23,2022-11-27 09:38:33,777
83,2,81,2022-06-05 00:55:37,205
84,1,1,2024-09-17 23:28:28,315
85,3,79,2023-03-09 14:21:41,757
86,2,32,2022-02-06 09:33:07,524
87,3,9,2022-04-07 14:36:28,171
88,2,15,2023-05-27 19:40:54,941
89,5,28,2024-12-09 06:33:12,884
90,5,24,2024-05-19 20:10:55,858
91,1,60,2024-06-01 14:07:23,545
92,1,35,2024-02-22 11:42:39,285
93,3,86,2023-05-26 12:55:01,169
94,2,27,2024-02-03 05:07:42,249
95,4,83,2022-12-14 18:10:21,345
96,1,76,2023-12-09 19:39:12,873
97,4,20,2023-05-18 16:51:04,637
98,4,65,2022-10-19 12:30:00,751
99,2,85,2022-05-20 14:32:24,198
100,3,49,2022-05-10 01:44:30,377
101,2,1,2022-06-11 00:19:40,662
102,1,10,2024-03-30 03:38:26,762
103,4,47,2023-06-02 03:23:28,554
104,2,59,2022-02-02 07:22:18,203
105,2,96,2024-06-26 12:15:23,700
106,2,62,2024-08-01 13:00:52,752
107,1,86,2024-06-19 10:32:09,824
108,3,18,2024-07-02 18:33:42,332
109,2,46,2022-04-06 07:13:45,493
110,1,32,2023-03-11 00:32:35,600
111,4,27,2022-05-07 15:48:56,794
112,5,92,2022-02-25 04:27:06,350
113,1,18,2022-11-13 07:33:13,620
114,5,39,2022-08-30 10:38:37,178
115,2,49,2024-09-18 12:12:08,151
116,2,93,2023-04-05 06:31:36,997
117,1,82,2024-01-09 04:52:04,880
118,5,44,2024-01-12 06:10:30,325
119,2,72,2022-06-16 09:15:53,150
120,4,54,2023-10-01 01:11:05,285
121,3,95,2023-08-15 13:40:05,133
122,3,34,2024-03-09 21:00:44,902
123,2,71,2022-01-18 10:43:14,841
124,5,36,2023-02-27 20:24:37,230
125,2,18,2024-03-19 02:44:12,731
126,5,38,2023-05-04 09:28:25,542
127,4,59,2022-01-11 13:01:53,937
128,5,9,2023-02-17 04:04:09,858
129,2,73,2024-02-24 06:58:01,531
130,4,72,2022-07-25 17:07:29,803
131,1,51,2024-12-27 13:12:54,596
