PO_ID,SupplierID,MaterialID,PlantID,OrderDate,Quantity
1,56,30,4,2022-12-11 17:12:56,71
2,59,25,3,2022-11-22 08:35:05,261
3,28,28,5,2022-11-18 08:16:49,175
4,1,98,3,2023-04-06 12:27:20,462
5,42,25,4,2022-03-29 17:50:02,474
6,18,74,4,2022-08-06 12:45:44,91
7,48,78,4,2024-02-28 07:41:25,147
8,40,58,5,2022-11-04 16:28:58,498
9,33,94,4,2023-06-28 03:10:57,80
10,12,41,1,2022-07-17 13:27:03,207
11,8,25,4,2022-06-28 18:46:26,161
12,24,78,3,2024-06-21 16:51:02,451
13,16,99,3,2023-07-19 05:47:32,296
14,50,48,3,2022-05-25 03:13:38,171
15,4,98,5,2022-02-03 21:33:05,322
16,38,10,3,2024-08-16 11:56:32,343
17,44,99,5,2024-06-08 16:04:03,447
18,27,75,5,2022-02-25 10:52:44,256
19,9,11,4,2022-01-19 15:48:39,159
20,47,85,1,2024-11-28 15:46:52,489
21,16,21,4,2022-06-29 14:11:46,327
22,56,86,4,2024-12-08 11:34:21,105
23,12,45,5,2024-04-29 08:59:44,424
24,31,7,5,2023-03-14 04:00:35,452
25,24,81,3,2024-06-09 13:17:47,106
26,55,64,3,2023-12-28 14:51:22,477
27,14,64,4,2024-02-18 09:16:08,340
28,45,2,2,2022-06-27 20:20:31,163
29,25,76,2,2022-06-08 20:02:41,430
30,34,42,3,2022-04-08 20:26:04,434
31,3,82,2,2024-06-08 15:15:36,357
32,58,54,3,2023-12-22 16:15:49,390
33,24,75,5,2022-12-04 14:32:18,247
34,54,16,4,2022-10-13 12:30:00,470
35,42,18,1,2023-04-24 08:38:24,370
36,9,99,4,2024-01-12 17:23:53,228
37,26,59,3,2023-02-21 02:24:32,434
38,20,90,3,2024-07-23 10:25:37,268
39,40,16,4,2023-07-08 23:59:39,326
40,10,6,3,2023-04-15 07:40:23,486
41,19,57,2,2023-04-29 19:25:05,65
42,3,47,2,2022-01-15 21:16:28,428
43,24,48,3,2024-10-03 14:53:45,110
44,5,42,3,2022-08-31 10:19:49,103
45,3,76,2,2024-12-13 06:14:55,217
46,58,60,3,2024-08-04 12:32:40,75
47,27,77,3,2024-08-06 05:16:31,385
48,16,4,4,2024-11-13 17:18:34,114
49,49,2,1,2022-08-03 19:55:10,149
50,15,90,2,2024-02-14 11:00:57,123
51,35,59,4,2024-06-17 15:17:49,241
52,12,27,1,2024-03-30 02:36:01,220
53,41,27,3,2022-04-12 03:08:43,322
54,53,79,3,2023-12-28 05:12:55,426
55,44,72,4,2024-04-06 10:59:08,236
56,26,7,3,2023-07-06 06:12:46,72
57,47,63,5,2023-11-21 02:10:22,440
58,34,46,4,2023-09-11 22:58:11,477
59,23,63,1,2024-09-07 18:40:39,230
60,31,12,4,2023-09-20 16:02:16,376
61,50,13,2,2024-05-15 05:54:16,157
62,20,43,4,2023-09-03 16:19:37,384
63,12,17,3,2024-03-06 05:59:44,211
64,23,63,3,2024-09-28 01:23:27,351
65,4,81,5,2024-10-05 04:01:18,255
66,23,36,5,2023-07-10 07:52:19,127
67,48,85,5,2024-08-28 02:39:00,65
68,55,8,1,2024-11-10 20:07:18,376
69,48,69,5,2022-11-11 01:33:56,145
