InspectionID,ProductionID,DefectRate,Status
1,1,0.04,Fail
2,2,0.32,Fail
3,3,0.54,Pass
4,4,0.55,Pass
5,5,0.36,Fail
6,6,0.45,Fail
7,7,0.97,Fail
8,8,0.38,Fail
9,9,0.26,Pass
10,10,0.24,Fail
11,11,0.46,Pass
12,12,0.76,Pass
13,13,0.21,Fail
14,14,0.71,Pass
15,15,0.02,Pass
16,16,0.42,Fail
17,17,0.78,Pass
18,18,0.34,Pass
19,19,0.56,Fail
20,20,0.2,Fail
21,21,0.74,Fail
22,22,0.05,Fail
23,23,0.85,Fail
24,24,0.2,Fail
25,25,0.87,Fail
26,26,0.35,Pass
27,27,0.72,Pass
28,28,0.32,Fail
29,29,0.91,Pass
30,30,0.13,Pass
31,31,0.18,Fail
32,32,0.49,Pass
33,33,0.08,Fail
34,34,0.2,Pass
35,35,0.94,Fail
36,36,0.98,Pass
37,37,0.38,Pass
38,38,0.92,Pass
39,39,0.54,Fail
40,40,0.27,Pass
41,41,0.7,Pass
42,42,0.66,Fail
43,43,0.99,Fail
44,44,0.27,Pass
45,45,0.67,Pass
46,46,0.05,Pass
47,47,0.11,Pass
48,48,0.0,Fail
49,49,1.0,Pass
50,50,0.8,Pass
51,51,0.79,Fail
52,52,0.51,Pass
53,53,0.3,Pass
54,54,0.15,Pass
55,55,0.28,Fail
56,56,0.38,Fail
57,57,0.76,Pass
58,58,0.54,Pass
59,59,0.08,Fail
60,60,0.02,Pass
61,61,0.1,Pass
62,62,0.41,Fail
63,63,0.93,Fail
64,64,0.64,Fail
65,65,0.8,Pass
66,66,0.47,Pass
67,67,0.36,Pass
68,68,0.11,Pass
69,69,0.88,Fail
70,70,0.78,Pass
71,71,0.17,Pass
72,72,0.51,Fail
73,73,0.49,Fail
74,74,0.63,Pass
75,75,0.95,Fail
76,76,0.58,Fail
77,77,0.54,Pass
78,78,0.05,Pass
79,79,0.06,Pass
80,80,0.19,Pass
81,81,0.03,Fail
82,82,0.74,Fail
83,83,0.72,Pass
84,84,0.14,Pass
85,85,0.84,Fail
86,86,0.15,Pass
87,87,0.3,Pass
88,88,0.25,Pass
89,89,0.37,Pass
90,90,0.25,Fail
91,91,0.49,Pass
92,92,0.41,Fail
93,93,0.99,Pass
94,94,0.06,Pass
95,95,0.14,Fail
96,96,0.05,Pass
97,97,0.63,Fail
98,98,0.05,Pass
99,99,0.84,Pass
100,100,0.51,Pass
101,101,0.53,Pass
102,102,0.56,Pass
103,103,0.17,Fail
104,104,0.2,Fail
105,105,0.32,Pass
106,106,0.59,Pass
107,107,0.21,Fail
108,108,0.12,Fail
109,109,0.97,Pass
110,110,0.02,Pass
111,111,0.8,Fail
112,112,0.79,Pass
113,113,0.3,Fail
114,114,0.14,Pass
115,115,0.15,Fail
116,116,0.7,Fail
117,117,0.64,Pass
118,118,0.78,Fail
119,119,0.94,Pass
120,120,0.69,Pass
121,121,0.16,Pass
122,122,0.24,Pass
123,123,0.84,Fail
124,124,0.21,Pass
125,125,0.07,Pass
126,126,0.7,Pass
127,127,0.4,Pass
128,128,0.92,Fail
129,129,0.65,Pass
130,130,0.09,Fail
131,131,0.95,Fail
132,132,0.26,Fail
133,133,0.34,Pass
134,134,0.4,Pass
135,135,0.05,Pass
136,136,0.5,Pass
137,137,0.12,Fail
138,138,0.4,Fail
139,139,0.35,Pass
140,140,0.77,Pass
141,141,0.8,Pass
142,142,0.15,Pass
143,143,0.37,Pass
144,144,0.37,Pass
145,145,0.15,Pass
146,146,0.8,Fail
147,147,0.71,Fail
148,148,0.19,Fail
149,149,0.37,Fail
150,150,0.11,Pass
151,151,0.63,Pass
152,152,0.12,Pass
153,153,0.99,Pass
154,154,0.78,Pass
155,155,0.39,Fail
156,156,0.58,Pass
157,157,0.91,Fail
158,158,0.55,Pass
159,159,0.17,Fail
160,160,0.38,Pass
161,161,0.84,Fail
162,162,0.64,Pass
163,163,0.65,Pass
164,164,0.87,Pass
165,165,0.89,Pass
166,166,0.92,Fail
167,167,0.09,Pass
168,168,0.54,Fail
169,169,0.74,Pass
170,170,0.76,Fail
171,171,0.61,Pass
172,172,0.17,Pass
173,173,0.8,Fail
174,174,0.72,Pass
175,175,0.09,Pass
176,176,0.46,Fail
177,177,0.17,Pass
178,178,0.34,Fail
179,179,0.02,Pass
180,180,0.4,Fail
181,181,0.55,Fail
182,182,0.62,Fail
183,183,0.66,Fail
184,184,0.84,Pass
185,185,0.22,Pass
186,186,0.12,Fail
187,187,0.85,Pass
188,188,0.16,Pass
189,189,0.97,Pass
190,190,0.84,Fail
191,191,0.5,Pass
192,192,0.98,Pass
193,193,0.1,Fail
194,194,0.3,Pass
195,195,0.64,Fail
196,196,0.35,Fail
197,197,0.93,Fail
198,198,0.07,Pass
199,199,0.55,Pass
200,200,0.59,Fail
201,201,0.65,Fail
202,202,0.26,Fail
203,203,0.36,Fail
204,204,0.84,Fail
205,205,0.19,Fail
206,206,0.83,Pass
207,207,0.56,Fail
208,208,0.76,Fail
209,209,0.71,Fail
210,210,0.21,Pass
211,211,0.57,Pass
212,212,0.87,Pass
213,213,0.43,Pass
214,214,0.97,Fail
215,215,0.45,Pass
216,216,0.14,Fail
217,217,0.39,Fail
218,218,0.95,Fail
219,219,0.32,Fail
220,220,0.87,Fail
221,221,0.88,Fail
222,222,0.35,Pass
223,223,0.08,Pass
224,224,0.72,Pass
225,225,0.31,Pass
226,226,0.78,Pass
227,227,0.44,Fail
228,228,0.49,Pass
229,229,0.78,Pass
230,230,0.38,Pass
231,231,0.44,Fail
232,232,0.38,Fail
233,233,0.37,Fail
234,234,0.53,Pass
235,235,0.81,Pass
236,236,0.36,Pass
237,237,0.52,Pass
238,238,0.67,Pass
239,239,0.27,Fail
240,240,0.28,Pass
241,241,0.93,Fail
242,242,0.72,Pass
243,243,0.58,Fail
244,244,0.65,Fail
245,245,0.03,Fail
246,246,0.62,Fail
247,247,0.51,Pass
248,248,0.55,Pass
249,249,0.36,Pass
250,250,0.08,Fail
251,251,0.19,Pass
252,252,0.95,Pass
253,253,0.41,Pass
254,254,0.47,Pass
255,255,0.05,Fail
256,256,0.04,Fail
257,257,0.72,Pass
258,258,0.54,Pass
259,259,0.51,Pass
260,260,0.24,Fail
261,261,0.74,Fail
262,262,0.17,Fail
263,263,0.19,Pass
264,264,0.46,Fail
265,265,0.29,Fail
266,266,0.25,Fail
267,267,0.65,Fail
268,268,0.65,Fail
269,269,0.82,Pass
270,270,0.42,Pass
271,271,0.07,Pass
272,272,0.27,Pass
273,273,0.98,Fail
274,274,0.6,Pass
275,275,0.71,Pass
276,276,0.01,Pass
277,277,0.52,Fail
278,278,0.04,Pass
279,279,0.57,Fail
280,280,0.92,Fail
281,281,0.97,Fail
282,282,0.54,Pass
283,283,0.46,Fail
284,284,0.95,Pass
285,285,0.67,Pass
286,286,0.06,Pass
287,287,0.47,Fail
288,288,0.24,Fail
289,289,0.47,Pass
290,290,0.46,Fail
291,291,0.58,Fail
292,292,0.36,Fail
293,293,0.16,Pass
294,294,0.5,Fail
295,295,0.83,Fail
296,296,0.66,Pass
297,297,0.34,Fail
298,298,0.94,Pass
299,299,0.91,Fail
300,300,0.21,Fail
301,301,0.04,Fail
302,302,0.74,Fail
303,303,0.83,Fail
304,304,0.97,Fail
305,305,0.89,Pass
306,306,0.6,Fail
307,307,0.53,Fail
308,308,0.03,Fail
309,309,0.25,Pass
310,310,0.46,Pass
311,311,0.63,Pass
312,312,0.56,Fail
313,313,0.74,Fail
314,314,0.28,Pass
315,315,0.56,Pass
316,316,0.09,Pass
317,317,0.41,Fail
318,318,0.75,Pass
319,319,0.69,Fail
320,320,0.99,Fail
321,321,0.28,Fail
322,322,0.5,Pass
323,323,0.33,Fail
324,324,0.44,Pass
325,325,0.86,Pass
326,326,0.68,Pass
327,327,0.88,Pass
328,328,0.2,Fail
329,329,0.87,Fail
330,330,0.06,Fail
331,331,0.89,Fail
332,332,0.33,Pass
333,333,0.31,Pass
334,334,0.51,Pass
335,335,0.94,Pass
336,336,0.05,Fail
337,337,0.35,Pass
338,338,0.86,Fail
339,339,0.4,Pass
340,340,0.2,Pass
341,341,0.42,Pass
342,342,0.39,Pass
343,343,0.92,Fail
344,344,0.76,Fail
345,345,0.51,Fail
346,346,0.99,Fail
347,347,0.47,Pass
348,348,0.06,Pass
349,349,0.26,Fail
350,350,0.44,Fail
351,351,0.16,Pass
352,352,0.95,Pass
353,353,0.77,Fail
354,354,0.27,Fail
355,355,0.59,Fail
356,356,0.72,Pass
357,357,0.94,Fail
358,358,0.88,Fail
359,359,0.52,Fail
360,360,0.77,Fail
361,361,0.56,Fail
362,362,0.55,Pass
363,363,0.11,Fail
364,364,0.13,Pass
365,365,0.53,Fail
366,366,0.27,Fail
367,367,0.02,Fail
368,368,0.72,Pass
369,369,0.03,Pass
370,370,0.6,Pass
371,371,0.54,Fail
372,372,0.97,Fail
373,373,0.48,Pass
374,374,0.06,Pass
375,375,0.55,Fail
376,376,0.84,Pass
377,377,1.0,Fail
378,378,0.43,Pass
379,379,0.32,Pass
380,380,0.91,Pass
381,381,0.19,Fail
382,382,0.62,Fail
383,383,0.41,Pass
384,384,0.04,Fail
385,385,0.35,Fail
386,386,0.27,Fail
387,387,0.69,Fail
388,388,0.95,Pass
389,389,0.27,Fail
390,390,0.81,Fail
391,391,0.06,Pass
392,392,0.54,Fail
393,393,0.07,Fail
394,394,0.93,Fail
395,395,0.77,Pass
396,396,0.66,Pass
397,397,0.82,Fail
398,398,0.65,Fail
399,399,0.97,Pass
400,400,0.71,Pass
