SupplierID,SupplierName,Country,Rating
1,Supplier_1,Germany,2
2,Supplier_2,India,2
3,Supplier_3,USA,1
4,Supplier_4,China,1
5,Supplier_5,USA,4
6,Supplier_6,Germany,3
7,Supplier_7,India,2
8,Supplier_8,Germany,4
9,Supplier_9,USA,1
10,Supplier_10,USA,1
11,Supplier_11,China,3
12,Supplier_12,India,3
13,Supplier_13,India,3
14,Supplier_14,USA,4
15,Supplier_15,India,1
16,Supplier_16,China,1
17,Supplier_17,Germany,3
18,Supplier_18,India,2
19,Supplier_19,USA,3
20,Supplier_20,Germany,4
21,Supplier_21,Germany,3
22,Supplier_22,China,3
23,Supplier_23,USA,4
24,Supplier_24,India,3
25,Supplier_25,USA,1
26,Supplier_26,Germany,2
27,Supplier_27,USA,3
28,Supplier_28,India,4
29,Supplier_29,India,2
30,Supplier_30,China,4
31,Supplier_31,India,2
32,Supplier_32,India,2
33,Supplier_33,USA,3
34,Supplier_34,USA,1
35,Supplier_35,Germany,3
36,Supplier_36,China,4
37,Supplier_37,USA,4
38,Supplier_38,India,2
39,Supplier_39,Germany,2
40,Supplier_40,USA,1
41,Supplier_41,China,3
42,Supplier_42,China,4
43,Supplier_43,Germany,2
44,Supplier_44,Germany,1
45,Supplier_45,Germany,4
46,Supplier_46,Germany,2
47,Supplier_47,Germany,4
48,Supplier_48,India,1
49,Supplier_49,India,1
50,Supplier_50,USA,4
51,Supplier_51,China,3
52,Supplier_52,India,4
53,Supplier_53,India,2
54,Supplier_54,India,3
55,Supplier_55,USA,2
56,Supplier_56,Germany,4
57,Supplier_57,USA,3
58,Supplier_58,China,2
59,Supplier_59,China,4
