ShipmentID,PlantID,Destination,ShipDate,TransportCost
1,1,Asia,2024-12-10 08:27:59,3648
2,5,India,2023-05-06 09:35:19,4280
3,3,Europe,2023-07-06 13:42:37,1625
4,5,USA,2023-02-09 02:39:56,4520
5,4,Europe,2024-07-30 05:32:50,4512
6,4,Europe,2022-08-19 21:19:29,3839
7,5,USA,2024-03-24 13:31:03,4326
8,3,USA,2022-04-21 02:54:00,2092
9,1,India,2024-02-09 16:17:16,1097
10,2,USA,2024-11-22 15:02:25,3624
11,1,Europe,2023-04-15 17:17:58,4740
12,2,Europe,2023-04-01 09:12:52,1458
13,2,Asia,2022-10-17 22:18:22,2215
14,3,USA,2022-01-10 20:08:42,1902
15,5,Europe,2024-07-16 12:44:16,1073
16,1,Asia,2023-11-17 16:06:23,765
17,5,Asia,2022-09-25 10:13:40,2218
18,4,India,2023-01-23 06:33:10,2085
19,3,Europe,2023-02-14 21:54:07,2323
20,3,India,2022-12-26 04:30:11,4842
21,4,Europe,2023-12-09 23:52:39,2514
22,1,India,2024-06-27 01:50:28,4612
23,4,India,2024-07-17 16:21:28,4083
24,1,USA,2023-07-10 00:28:08,3392
25,2,India,2022-08-06 09:24:40,2059
26,3,USA,2024-12-18 20:03:30,224
27,1,Asia,2023-08-03 11:54:59,3703
28,5,Europe,2024-10-14 09:42:01,4455
29,5,Asia,2023-06-10 22:04:25,1337
30,3,Europe,2024-02-07 06:27:17,1389
31,4,Asia,2024-12-03 06:22:08,4998
32,4,Europe,2024-09-05 03:47:36,4296
33,1,India,2022-05-09 13:13:09,3357
34,4,Europe,2022-08-03 13:46:43,2567
35,3,Europe,2024-05-02 05:21:33,4677
36,1,Asia,2023-05-12 19:38:59,1941
37,2,Asia,2024-03-28 01:42:26,3888
38,4,Asia,2023-07-27 10:07:18,3946
39,4,USA,2023-02-11 07:24:34,1097
40,1,USA,2023-05-22 04:34:25,4223
41,5,Europe,2022-05-14 02:04:09,916
42,4,Europe,2022-01-29 21:01:43,4167
43,3,India,2022-10-12 08:01:39,4221
44,4,India,2023-08-12 12:21:19,3415
45,2,Europe,2022-10-05 19:34:54,590
46,4,USA,2022-09-18 02:32:04,4084
47,5,Europe,2023-08-25 10:33:16,1899
48,4,India,2024-08-22 02:01:28,3237
49,1,USA,2022-02-26 06:49:04,432
50,4,USA,2023-07-17 23:47:38,2126
51,5,India,2023-01-28 13:59:08,3331
52,1,Europe,2023-12-12 14:09:07,3506
53,3,Asia,2023-07-08 04:03:11,2924
54,1,Europe,2023-03-26 03:51:59,433
55,2,Europe,2024-04-13 16:14:15,1591
56,1,India,2023-01-10 21:30:10,3092
57,3,USA,2022-10-18 20:33:40,1455
58,4,India,2024-09-03 03:58:23,2738
59,1,Europe,2022-10-18 01:39:18,3890
60,1,Asia,2022-04-03 18:34:08,1089
61,1,Asia,2023-07-22 18:19:10,4887
62,1,Asia,2022-01-16 04:04:06,945
63,3,India,2024-05-24 07:00:12,1919
64,5,USA,2024-08-07 10:38:03,627
65,5,India,2023-11-09 02:24:23,931
66,1,Asia,2024-09-08 05:40:23,999
67,3,Europe,2023-02-09 17:15:17,4497
68,3,USA,2023-12-17 23:28:59,1035
69,1,India,2022-11-17 12:02:29,334
70,2,India,2022-01-16 09:37:37,2738
71,1,USA,2023-11-22 19:01:07,3918
72,2,USA,2023-07-04 07:08:03,240
73,1,Europe,2024-08-13 08:38:56,3567
74,2,USA,2024-04-14 14:27:27,2615
75,2,Europe,2023-02-20 07:33:19,2240
76,1,Asia,2022-10-18 15:14:07,4539
77,2,Asia,2023-09-06 20:59:41,3149
78,4,India,2022-09-07 23:05:39,4461
79,5,Asia,2024-06-28 12:58:02,3666
80,3,Asia,2024-08-20 02:44:58,3288
81,2,Europe,2023-06-01 15:27:11,1315
82,2,India,2022-09-28 19:51:22,4778
83,3,USA,2024-06-13 14:50:27,2790
84,2,India,2024-02-11 14:29:52,3773
85,3,Asia,2024-02-11 23:08:31,3178
86,1,USA,2024-08-19 10:53:08,2647
87,4,India,2022-03-09 04:35:33,1430
88,4,India,2022-03-05 20:22:32,2866
89,5,India,2024-09-08 09:42:32,4458
90,2,India,2024-06-21 16:55:54,2794
91,5,Europe,2022-06-14 06:28:32,3630
92,1,India,2024-10-15 01:28:11,3117
93,4,Asia,2024-07-27 12:35:04,3152
94,1,Asia,2023-01-30 13:39:56,2195
95,1,Europe,2023-07-11 16:04:23,4091
96,2,USA,2022-06-15 15:27:11,506
97,1,USA,2023-08-16 23:51:45,1562
98,4,Asia,2023-08-26 19:18:20,2302
99,5,Asia,2024-12-22 18:44:10,3230
100,4,Europe,2023-12-27 18:32:00,532
