MaterialID,Warehouse,StockQty
77,W4,711
80,W2,731
24,W4,135
77,W3,222
24,W1,2
54,W3,962
26,W4,235
66,W3,853
80,W1,464
38,W3,227
65,W1,912
75,W2,653
51,W4,498
35,W1,520
43,W1,701
29,W3,861
37,W2,916
81,W1,971
58,W2,676
54,W2,991
39,W3,138
42,W1,275
28,W3,290
29,W4,52
43,W4,686
3,W1,109
10,W2,714
59,W1,947
14,W1,647
76,W4,3
47,W4,666
42,W2,683
94,W2,935
32,W1,869
32,W3,46
42,W1,93
32,W2,939
26,W3,559
1,W4,751
56,W2,858
2,W2,212
81,W3,435
30,W2,851
71,W2,507
52,W2,835
91,W2,650
9,W2,204
22,W2,380
34,W2,72
49,W2,515
1,W4,75
73,W2,840
84,W4,76
53,W4,815
83,W1,767
100,W1,409
40,W4,613
45,W4,105
68,W2,844
9,W1,550
22,W3,475
18,W1,825
76,W4,274
43,W4,87
39,W2,722
73,W2,880
6,W1,76
83,W2,76
48,W3,441
7,W3,539
80,W2,244
69,W3,577
16,W3,777
1,W1,381
37,W3,981
83,W4,716
37,W4,569
81,W1,712
64,W2,736
90,W1,141
86,W2,892
62,W2,367
72,W2,83
61,W2,142
33,W2,351
66,W1,544
30,W2,912
20,W3,151
60,W3,157
82,W2,445
74,W3,652
24,W4,957
4,W1,762
37,W1,302
4,W2,623
77,W2,655
89,W4,449
77,W2,720
18,W3,223
88,W4,42
66,W3,263
48,W1,755
33,W3,2
58,W1,636
83,W3,267
73,W1,595
28,W2,15
35,W3,333
10,W1,463
65,W3,58
42,W4,176
85,W2,62
9,W1,957
60,W4,560
15,W3,306
99,W4,245
57,W3,288
69,W2,797
22,W4,954
64,W2,331
41,W1,526
87,W3,849
71,W3,254
56,W2,603
23,W2,509
25,W1,790
91,W4,717
6,W3,605
34,W3,736
63,W1,812
9,W1,829
60,W2,462
49,W2,198
97,W4,270
51,W1,745
60,W4,557
70,W1,63
37,W3,229
31,W1,941
98,W1,951
41,W3,248
62,W1,245
93,W4,939
58,W2,586
14,W2,156
36,W4,734
36,W3,701
79,W1,984
8,W4,563
26,W2,949
36,W2,87
48,W4,312
85,W2,850
28,W4,65
68,W2,661
62,W4,19
80,W1,32
86,W1,839
76,W1,792
80,W1,557
51,W2,72
42,W3,865
29,W4,824
82,W3,342
10,W2,132
39,W2,54
82,W3,60
1,W3,856
39,W2,519
21,W2,271
65,W4,245
15,W1,175
4,W1,627
60,W4,316
61,W3,782
20,W2,704
10,W3,661
87,W1,130
34,W1,101
48,W3,309
33,W1,781
98,W2,291
61,W4,721
10,W3,494
54,W2,360
84,W2,337
65,W1,578
77,W2,9
1,W3,48
5,W2,486
80,W4,622
15,W2,320
28,W2,730
95,W4,568
23,W2,794
17,W2,970
98,W1,624
13,W3,132
14,W1,582
11,W3,82
